action,record_type,serial_title,nlm_unique_id,holdings_format,begin_volume,end_volume,begin_year,end_year,issns,currently_received,retention_policy,limited_retention_period,limited_retention_type,embargo_period,has_epub_ahead_of_print,has_supplements,ignore_warnings,last_modified
,RANGE,Advances in pediatrics,NLM_0370436,Print,1,47,1948,2000,"0065-3101 (Print), 1878-1926 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,HOLDING,"Advances in pharmacology (San Diego, Calif.)",NLM_9015397,Print,,,0,0,"1054-3589 (Print), 1557-8925 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,RANGE,"Advances in pharmacology (San Diego, Calif.)",NLM_9015397,Print,21,49,1990,2000,"1054-3589 (Print), 1557-8925 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,HOLDING,Advances in pharmacology and chemotherapy,NLM_0237113,Print,,,0,0,0065-3144 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,RANGE,Advances in pharmacology and chemotherapy,NLM_0237113,Print,7,20,0,0,0065-3144 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,HOLDING,Advances in physical organic chemistry,NLM_0370437,Print,,,0,0,"0065-3160 (Print), 2162-5921 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,RANGE,Advances in physical organic chemistry,NLM_0370437,Print,1,10,0,0,"0065-3160 (Print), 2162-5921 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,HOLDING,Advances in prostaglandin and thromboxane research,NLM_7610366,Print,,,0,0,0361-5952 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,RANGE,Advances in prostaglandin and thromboxane research,NLM_7610366,Print,1,8,0,0,0361-5952 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,HOLDING,"Advances in prostaglandin, thromboxane, and leukotriene research",NLM_8211444,Print,,,0,0,0732-8141 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,RANGE,"Advances in prostaglandin, thromboxane, and leukotriene research",NLM_8211444,Print,9,23,1982,1995,0732-8141 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,HOLDING,Advances in protein chemistry,NLM_0116732,Print,,,0,0,"0065-3233 (Print), 1557-8941 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,RANGE,Advances in protein chemistry,NLM_0116732,Print,1,55,1944,2000,"0065-3233 (Print), 1557-8941 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,HOLDING,Advances in reproductive physiology,NLM_7513188,Print,,,0,0,0065-3322 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,RANGE,Advances in reproductive physiology,NLM_7513188,Print,1,6,0,0,0065-3322 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,HOLDING,Advances in second messenger and phosphoprotein research,NLM_8807408,Print,,,0,0,1040-7952 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,RANGE,Advances in second messenger and phosphoprotein research,NLM_8807408,Print,21,33,1988,1999,1040-7952 (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,HOLDING,Advances in teratology,NLM_0424140,Print,,,0,0,0065-342X (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,RANGE,Advances in teratology,NLM_0424140,Print,1,5,0,0,0065-342X (Print),No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,HOLDING,Advances in virus research,NLM_0370441,Print,,,0,0,"0065-3527 (Print), 1557-8399 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,RANGE,Advances in virus research,NLM_0370441,Print,1,55,1953,2000,"0065-3527 (Print), 1557-8399 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,10/12/18
,HOLDING,Age and ageing,NLM_0375655,Print,,,0,0,"0002-0729 (Print), 1468-2834 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,2/3/23
,RANGE,Age and ageing,NLM_0375655,Print,16,25,1987,1996,"0002-0729 (Print), 1468-2834 (Electronic)",No,Permanently Retained,0,Years,0,No,No,No,2/3/23
