655 - Local Param 04,BIB 008 MARC,MMS Id,Lifecycle,Lifecycle2
 Advertisements Massachussets Boston 19th century. rbgenr,830524s1872####mauab#########000#0#eng##,991003308339703851,In Repository,Active
 Advertisements New Jersey Newark 20th century. rbgenr,721215s1972####nju###########000#0#eng##,991007582699703851,In Repository,Active
 Advertisements New York (State) 19th century. rbmscv,750728s1894####nyuaf#########000#0#eng##,991003236419703851,In Repository,Active
 Advertisements New York (State) 19th century. rbmscv,770510s1886####nyua##########000#0#eng##,991001889849703851,In Repository,Active
 Advertisements New York (State) 19th century. rbmscv,780109s1862####nyuaf#########000#0#eng#c,991002370079703851,In Repository,Active
 Advertisements New York (State) 19th century. rbmscv,780113s1892####nyua##########000#0#eng##,991002390379703851,In Repository,Active
 Advertisements New York (State) 19th century. rbmscv,820626s1878####nyu###########000#0#eng##,991003384529703851,In Repository,Active
 Advertisements New York (State) 19th century. rbmscv,750923s1891####nyuacf########000#0#eng##,991004807509703851,In Repository,Active
 Advertisements New York (State) 19th century. rbmscv,750602m18511852nyua##########001#0#eng##,991003370469703851,In Repository,Active
 Advertisements New York (State) 19th century. rbmscv,790611s1892####nyu###########000#0#eng#d,991004948689703851,In Repository,Active
 Advertisements New York (State) 19th century. rbmscv,750212s1858####nyuaf#########000#0#eng##,991006251549703851,In Repository,Active
 Advertisements New York (State) 19th century. rbmscv,741104s1890####nyu###########000#f#eng##,991009930499703851,In Repository,Active
 Advertisements New York (State) 20th century. rbmscv,750904s1918####nyu###########000#0#eng##,991005274279703851,In Repository,Active
 Advertisements New York (State) 20th century. rbmscv,730402s1913####nyu###########000#p#eng##,991005425139703851,In Repository,Active
 Advertisements New York (State) 20th century. rbmscv,750924s1905####vp#cf#########000#0#eng##,991003932679703851,In Repository,Active
 Advertisements New York (State) 20th century. rbmscv,791218s1966####nyu###########000#m#eng##,991017436447103851,In Repository,Active
 Advertisements New York (State) 20th century. rbmscv,770920s1930####nyucfh###b####001#0beng##,991005098639703851,In Repository,Active
 Advertisements New York (State) 20th century. rbmscv,720330s1860####nyu###########000#1#eng##,991011582099703851,In Repository,Active
 Advertisements New York (State) 20th century. rbmscv,830613t19021902nyuaf#########000#f#eng##,991006208839703851,In Repository,Active
 Advertisements New York (State) 20th century. rbmscv,750804s1918####nyu###########000#0#eng##,991008639759703851,In Repository,Active
 Advertisements New York (State) 20th century. rbmscv,770122s1939####nyu###########000#0#eng##,991008640029703851,In Repository,Active
 Advertisements New York (State) New York 19th century. rbmscv,780203s1873####nyu###########000#0#eng##,991003828989703851,In Repository,Active
 Advertisements New York 19th century. rbgenr,741104s1890####nyu###########000#f#eng##,991009930499703851,In Repository,Active
 Advertisements New York New York 19th century. rbgenr,790611s1892####nyu###########000#0#eng#d,991004948689703851,In Repository,Active
 Advertisements New York New York 19th century. rbgenr,800626s1854####nyucf#########000#0ceng#d,991011126429703851,In Repository,Active
